epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,20.9905,1.65764,3.0858,1.26793,0.0237,0.73333,0.50121,0.28866,1.46303,3.63719,1.11036,6.71788e-05,6.71788e-05,6.71788e-05
40,21.4373,1.89879,2.96528,1.21306,0.0237,0.73333,0.50121,0.28866,1.46303,3.63719,1.11036,6.34332e-05,6.34332e-05,6.34332e-05
41,26.3301,1.74982,2.93672,1.2973,0.02354,0.73333,0.50121,0.28741,1.46298,3.64937,1.11127,5.94048e-05,5.94048e-05,5.94048e-05
42,26.8423,1.5908,2.9074,1.22494,0.02354,0.73333,0.50121,0.28741,1.46298,3.64937,1.11127,5.50937e-05,5.50937e-05,5.50937e-05
43,27.4498,1.61415,2.95296,1.22135,0.02496,0.73333,0.50889,0.28989,1.41844,3.66638,1.10182,5.04998e-05,5.04998e-05,5.04998e-05
44,27.8787,1.6698,2.82152,1.21956,0.02496,0.73333,0.50889,0.28989,1.41844,3.66638,1.10182,4.56232e-05,4.56232e-05,4.56232e-05
45,28.4705,1.6486,2.83456,1.21324,0.02643,0.73333,0.50906,0.30965,1.43395,3.65276,1.13049,4.04638e-05,4.04638e-05,4.04638e-05
46,28.9503,1.63019,3.04861,1.24378,0.02643,0.73333,0.50906,0.30965,1.43395,3.65276,1.13049,3.50217e-05,3.50217e-05,3.50217e-05
47,29.47,1.64436,2.85519,1.27813,0.02507,0.73333,0.50557,0.30912,1.41694,3.64474,1.13429,2.92968e-05,2.92968e-05,2.92968e-05
48,29.9491,1.65445,2.83875,1.26871,0.02507,0.73333,0.50557,0.30912,1.41694,3.64474,1.13429,2.32893e-05,2.32893e-05,2.32893e-05
49,30.4782,1.60325,2.81278,1.19784,0.02516,0.73333,0.49803,0.26631,1.41627,3.62204,1.14494,1.69989e-05,1.69989e-05,1.69989e-05
50,30.9353,1.66915,2.78258,1.21428,0.02516,0.73333,0.49803,0.26631,1.41627,3.62204,1.14494,1.04258e-05,1.04258e-05,1.04258e-05
